                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.63341,                0.43213,                0.88805,                0.86761,                0.89953,                0.93799,                0.69405,                0.96102,                0.55944,                 1.0122,              0.0006536,              0.0006536,              0.0006536
                     37,                0.62152,                 0.4171,                0.88538,                0.86512,                0.90196,                0.93688,                  0.676,                0.99027,                0.57282,                 1.0204,               0.000614,               0.000614,               0.000614
                     38,                0.61806,                0.40978,                0.87772,                 0.9184,                0.92157,                0.94789,                0.69084,                0.99535,                0.56038,                 1.0201,              0.0005744,              0.0005744,              0.0005744
                     39,                0.61171,                0.40768,                0.87758,                0.89043,                0.96078,                0.95837,                0.69967,                0.97069,                0.54252,                0.99071,              0.0005348,              0.0005348,              0.0005348
                     40,                0.58194,                0.39121,                0.87281,                0.91334,                0.88235,                0.94772,                 0.7035,                0.96011,                0.53578,                 1.0023,              0.0004952,              0.0004952,              0.0004952
                     41,                0.55818,                0.37706,                 0.8497,                0.93411,                0.86275,                0.93774,                0.68767,                0.94056,                0.56989,                0.98489,              0.0004556,              0.0004556,              0.0004556
                     42,                0.54283,                0.36087,                0.84442,                0.88781,                0.88235,                0.93197,                0.69202,                0.96121,                0.53339,                0.98602,               0.000416,               0.000416,               0.000416
                     43,                0.52527,                 0.3445,                0.83185,                 0.8538,                0.91615,                0.95001,                0.68349,                 1.0029,                0.57213,                 1.0122,              0.0003764,              0.0003764,              0.0003764
                     44,                0.51139,                0.33522,                0.83124,                0.85207,                0.88235,                0.94393,                 0.7049,                0.96019,                0.55229,                 1.0036,              0.0003368,              0.0003368,              0.0003368
                     45,                0.51364,                0.33468,                0.83718,                0.87873,                0.92157,                0.94924,                0.69621,                 0.9756,                0.55577,                0.99012,              0.0002972,              0.0002972,              0.0002972
                     46,                0.48357,                0.31631,                0.82846,                0.93937,                0.91146,                0.94178,                 0.6989,                0.97314,                0.54008,                0.99579,              0.0002576,              0.0002576,              0.0002576
                     47,                 0.4694,                0.31812,                0.81772,                0.91507,                0.92157,                0.95037,                0.68911,                0.97418,                0.53866,                0.99276,               0.000218,               0.000218,               0.000218
                     48,                0.46209,                0.31091,                0.83114,                0.93984,                0.91903,                0.94617,                0.70586,                 0.9936,                0.61289,                 1.0022,              0.0001784,              0.0001784,              0.0001784
                     49,                0.45275,                0.30531,                0.81553,                0.95317,                0.90196,                0.95256,                0.71786,                0.99071,                0.57615,                 1.0074,              0.0001388,              0.0001388,              0.0001388
                     50,                0.44215,                 0.3046,                0.82225,                0.93145,                0.88235,                0.93865,                0.70859,                0.97754,                0.53653,                 1.0135,               9.92e-05,               9.92e-05,               9.92e-05
